Vimentin,SMA,Collagen_1,Lag3,CD4,CD14,Foxp3,PD_1,CD31,PD_L1,E_cadherin,Ki67,CD209,CD206,gdTCR,iNOS,CD68,CD36,CD8,CD3,IDO,CD11c,CD163,CD20,CD16,IFNg,HLA_DR_DQ_DP,CD11b,CD45,H3K9Ac,Keratin_pan,CD103,MastChyTry,MPO,NaKATPase,HLA_Class_1
-0.94803,2.2005,-1.0315,1.559,-0.35932,0.89744,0.29958,-0.0047381,1.0974,2.6541,2.3579,-0.83016,2.2001,2.8035,3.8777,14.645,2.7869,5.5753,0.2745,-0.85351,0.091829,1.2053,1.5485,-1.6812,1.8584,0.67892,-0.010337,1.2924,-1.831,-1.4272,1.2675,3.1219,0.92852,0.58674,0.71163,-1.5268
-0.72013,-3.8782,-6.0534,-0.19984,0.49298,5.2942,-1.1133,-1.2628,-6.742,14.434,-1.5974,-0.59013,4.0485,13.734,1.4351,2.8656,20.613,-3.3284,-4.4823,-2.9722,7.4424,16.513,-1.4824,-7.1181,1.1155,0.29204,1.968,15.209,-0.66509,-3.3164,-1.488,2.1232,-1.7488,-1.9675,2.838,-3.0833
-1.7616,7.1867,1.0435,1.0449,-1.1867,-2.6095,-0.48935,-0.31659,10.791,-4.7602,1.73,-1.3087,0.94469,-4.3177,1.929,5.5747,-3.3811,19.121,1.6092,-0.16346,-5.4146,-8.154,2.6419,-1.3012,0.63236,0.43215,-0.6471,-4.6559,-3.5169,-1.9057,1.6661,1.4379,1.5233,2.9983,-0.95167,-2.0667
3.3323,4.9404,4.7145,3.426,8.9884,2.4292,2.6185,3.3057,1.4776,-1.8391,-1.07,1.8683,-0.78293,-3.493,2.2056,0.27462,-4.4654,1.6037,19.52,13.917,1.1443,-2.9205,5.2483,8.2699,2.8829,0.584,3.4742,-2.5887,5.6108,3.6999,1.4995,6.596,0.34073,1.1524,5.5671,3.0052
4.8671,3.8761,2.5644,4.0819,14.607,3.8223,4.9556,5.0661,0.41247,1.1462,-0.69095,3.7298,-0.89221,-0.68179,2.3147,-0.82257,-2.9887,-0.11364,13.683,19.175,3.3945,1.5126,5.1843,10.445,1.2056,1.3228,4.0509,0.090217,9.0672,4.8142,1.9299,6.0715,-0.23221,1.2148,7.6789,3.5915
2.8461,-3.3417,-4.1084,1.019,7.4171,8.8413,2.4439,1.525,-6.7923,17.595,-0.38338,2.9684,-1.142,9.2953,2.8636,0.09966,7.5835,-5.432,1.1026,3.4743,25.151,18.848,0.44733,-2.1888,2.6793,0.74763,3.7214,11.83,4.0559,-0.73708,-0.11173,4.6307,-2.2586,-1.9855,6.4648,-0.72539
2.2557,-6.7575,-8.1136,1.1753,8.164,10.996,0.68037,0.64993,-10.179,24.992,-0.87619,2.5631,3.2638,18.961,2.7994,1.194,16.287,-8.2734,-2.8112,1.5653,19.089,34.958,-1.9471,-4.5547,0.87767,1.4872,6.8089,22.348,5.1138,-1.0489,-2.1135,3.279,-2.7494,-2.7662,8.6282,-1.2808
0.88669,4.7143,1.8964,3.0952,5.2132,3.281,2.4665,3.2681,1.7647,0.27985,0.027793,1.3134,2.414,-0.23,3.0105,1.5322,-1.4934,2.6392,5.2284,5.2088,0.44771,-1.9492,15.07,3.3659,5.0384,0.64922,2.235,-1.0198,2.6985,1.0605,1.7626,3.7554,0.32852,0.67841,1.5719,0.038542
3.02,2.5358,-1.8273,0.72444,7.1416,-3.9837,1.2699,3.2261,-0.4292,-5.0665,0.071856,1.2875,-3.7985,-7.8744,0.038125,-1.6337,-6.9702,-1.4107,8.3757,10.528,-2.1197,-4.5687,3.4561,35.851,-1.1913,1.9541,6.2188,-5.6035,8.8991,6.0424,1.0024,2.9346,-0.96771,0.28419,3.0054,5.0013
-0.18936,4.8239,1.8496,1.5212,2.1664,4.5692,1.7934,1.3082,-0.093539,5.3218,-1.5103,1.8766,2.6352,1.3843,1.9654,1.862,1.1199,0.61762,2.8995,1.1811,2.8723,0.85819,5.0895,-1.1508,22.649,-0.49736,0.31197,4.0794,-0.1037,-1.0252,-0.26633,3.51,0.071105,2.1278,1.5927,-1.3702
