"","ACTA2","CD14","CD163","CD209","CD274","CD36","CD3E","CD4","CD68","CD8A","CDH1","CMA1","COL1A1","CTLA4","FCGR3A","FOXP3","HAVCR2","ICOS","IDO1","IFNG","IL10","ITGAE","ITGAM","ITGAX","LAG3","MKI67","MPO","MRC1","MS4A1","NCAM1","NOS2","PDCD1","PDCD1LG2","PECAM1","PTPRC","TGFB1","TNFRSF18","TPSAB1","VIM"
"healthy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ltb vs hlt",0.0832498048915033,-0.159242836962619,-0.262303435972047,0.236388801664515,-0.162076930205316,-0.237614311906028,-0.21499926561212,0.123534627021065,0.115545019520023,0.023299769258854,-0.120375838767359,0.206819923980146,0.303074210152397,-0.111478056124432,-0.2029995987129,0.333747989806518,-0.20626315390752,-0.509915384687826,0.225311812929455,-0.214455022850409,0.120196634056181,-0.377972760434892,-0.739277742083579,-0.178779809334598,0.387028587986855,0.0925775101385674,-0.309342507018177,0.40453980452251,-0.349169899974028,-0.0745483603623929,-0.078850398463879,-0.069673206550651,0.194000490120292,-0.551276559492993,0.0103737130742559,0.17339817615865,-0.0102797136307715,-0.0580145242098633,-0.250549007053735
"atb vs ltb",1.03360161318761,1.03755393572847,0.608106075001776,0.5093115271132,1.1543125944256,0.729622646087702,-1.57349764488664,-0.472801048820402,0.705586390554212,-0.960801825825176,-0.432446780756936,0.412096773357111,0.434934435516882,-0.621098912953502,0.481472661077945,0.166297469022113,0.09811205130456,-1.48258963389529,0.3753532122843,-0.463708327948943,0.443905124260857,-0.357313405199437,0.526635494550655,0.700743790685306,-0.171190435036803,0.134348833119241,0.677428251791552,0.424455838378346,-0.91012447053243,-0.241232724147174,0.0118318197564228,-0.642851020581571,1.40625014960471,-0.423626448550146,0.250616500491302,0.274567133539779,-0.518116913988562,0.00292781292853806,0.138301984500978
"eot vs atb",0.407644259710286,-0.0817856057102568,-0.0903226552497777,0.35248151915999,-0.549770568151319,-0.146529565098919,-0.739233750651924,-0.294617082831794,0.285914161774021,-0.223515347613804,-0.0650644081011922,0.309255602302207,0.37419294826181,0.127514202645909,0.0480377219763002,0.46367937286444,-0.0954723704780255,-0.408217354991354,0.313613383456541,0.3310143105536,0.105127085663651,0.155541783659375,-0.69846925354416,-0.0206002088388395,0.505809016439954,0.00985264501464733,-0.0921121649391513,0.51103119532933,-0.0443815044151591,-0.191799018859451,-0.163415343491789,-0.141180009198503,0.288602361409289,-0.53101205374979,-0.168859151808875,0.180083044170996,-0.205078632345344,-0.124660125353013,-0.00982040125226297
