Patient,ROI,Patient-ROI,Image,RNA,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Num Detections,Num Subcellular cluster: DAB object,Num Subcellular spot: DAB object,Area µm^2,Perimeter µm
51210,1,51210_1,51210_1_DapB.jpg,DapB,Lymph,Lymph,Image,Polygon,326.73,583.36,331,54,145,15622.8,646.05
51210,1,51210_1,51210_1_DapB.jpg,DapB,Mac,Mac,Image,Rectangle,468.48,286.2,221,47,88,21172.3,583.2
51210,1,51210_1,51210_1_DapB.jpg,DapB,Immune cells,Immune cells,Image,Polygon,392.99,367.19,3608,452,1712,236724,1823
51210,1,51210_1,51210_1_IFNG.jpg,IFNG,Mac,Mac,Image,Rectangle,441.72,313.8,338,92,136,25420.3,638.4
51210,1,51210_1,51210_1_IFNG.jpg,IFNG,Lymph,Lymph,Image,Polygon,319.53,621.52,332,16,172,15622.8,646.05
51210,1,51210_1,51210_1_IFNG.jpg,IFNG,Immune cells,Immune cells,Image,Polygon,377.93,388.94,3686,411,1592,236797.2,1784.1
51210,1,51210_1,51210_1_TGFB.jpg,TGFB,Immune cells,Immune cells,Image,Polygon,388.07,353.09,6483,228,4619,240385,1809.6
51210,1,51210_1,51210_1_TGFB.jpg,TGFB,Lymph,Lymph,Image,Polygon,304.08,562.65,452,16,288,15751.1,603.24
51210,1,51210_1,51210_1_TGFB.jpg,TGFB,Mac,Mac,Image,Rectangle,469.08,262.08,770,43,598,25140.1,635.04
51210,1,51210_1,51210_1_UBC.jpg,UBC,Immune cells,Immune cells,Image,Polygon,390.65,374.92,7385,4083,2287,165490.5,1602.2
51210,1,51210_1,51210_1_UBC.jpg,UBC,Mac,Mac,Image,Rectangle,431.4,404.64,863,572,211,17819.8,536.16
51210,1,51210_1,51210_1_UBC.jpg,UBC,Lymph,Lymph,Image,Polygon,329.28,513.21,612,224,257,15751.1,603.24
51210,2,51210_2,51210_2_DapB.jpg,DapB,Mac,Mac,Image,Rectangle,368.04,307.68,163,18,79,14218.9,477.6
51210,2,51210_2,51210_2_DapB.jpg,DapB,Immune cells,Immune cells,Image,Polygon,411.35,333.86,2638,255,1405,158554.1,1464.8
51210,2,51210_2,51210_2_DapB.jpg,DapB,Lymph,Lymph,Image,Polygon,454.06,169.26,233,13,137,9040.1,370.11
51210,2,51210_2,51210_2_IFNG.jpg,IFNG,Immune cells,Immune cells,Image,Polygon,414.47,372.02,2570,225,1332,148207.9,1413
51210,2,51210_2,51210_2_IFNG.jpg,IFNG,Mac,Mac,Image,Rectangle,384.72,348,173,16,94,12135.2,440.64
51210,2,51210_2,51210_2_IFNG.jpg,IFNG,Lymph,Lymph,Image,Polygon,451.57,214.87,153,6,76,6364.2,298.15
51210,2,51210_2,51210_2_TGFB.jpg,TGFB,Immune cells,Immune cells,Image,Polygon,370.01,361.88,5040,210,3809,149784.4,1416.6
51210,2,51210_2,51210_2_TGFB.jpg,TGFB,Lymph,Lymph,Image,Polygon,422.19,230.72,200,8,129,4815.6,260.53
51210,2,51210_2,51210_2_TGFB.jpg,TGFB,Mac,Mac,Image,Rectangle,329.76,343.44,509,19,402,16841.8,519.36
51210,2,51210_2,51210_2_UBC.jpg,UBC,Lymph,Lymph,Image,Polygon,549.31,454.07,110,53,40,4387.2,244.06
51210,2,51210_2,51210_2_UBC.jpg,UBC,Mac,Mac,Image,Rectangle,345.96,253.56,236,103,91,5891.3,307.2
51210,2,51210_2,51210_2_UBC.jpg,UBC,Immune cells,Immune cells,Image,Polygon,365.36,358.73,5006,2693,1491,136573,1348.3
51210,3,51210_3,51210_3_DapB.jpg,DapB,Immune cells,Immune cells,Image,Polygon,456.71,286.76,3450,378,1525,227118.2,2681.3
51210,3,51210_3,51210_3_DapB.jpg,DapB,Necrosis,Necrosis,Image,Polygon,418.01,610.05,469,26,207,308765.1,2335
51210,3,51210_3,51210_3_DapB.jpg,DapB,Mac,Mac,Image,Rectangle,203.52,339.96,121,7,48,11096.5,432.48
51210,3,51210_3,51210_3_DapB.jpg,DapB,Lymph,Lymph,Image,Polygon,701.53,199.99,450,48,249,12841.4,518.09
51210,3,51210_3,51210_3_IFNG.jpg,IFNG,Necrosis,Necrosis,Image,Polygon,429.11,626.51,588,15,142,289870.1,2282
51210,3,51210_3,51210_3_IFNG.jpg,IFNG,Mac,Mac,Image,Rectangle,233.16,373.44,87,10,28,8114,389.28
51210,3,51210_3,51210_3_IFNG.jpg,IFNG,Lymph,Lymph,Image,Polygon,655.75,207.16,187,4,57,9589.6,411.09
51210,3,51210_3,51210_3_IFNG.jpg,IFNG,Immune cells,Immune cells,Image,Polygon,444.88,314.73,2800,187,888,212599.9,2526.8
51210,3,51210_3,51210_3_TGFB.jpg,TGFB,Immune cells,Immune cells,Image,Polygon,482.69,337.77,6196,190,4208,235824.6,2802.8
51210,3,51210_3,51210_3_TGFB.jpg,TGFB,Necrosis,Necrosis,Image,Polygon,365.8,618.11,695,20,323,275272.2,2302.3
51210,3,51210_3,51210_3_TGFB.jpg,TGFB,Lymph,Lymph,Image,Polygon,645.58,224.91,442,22,274,11413.8,420.19
51210,3,51210_3,51210_3_TGFB.jpg,TGFB,Mac,Mac,Image,Rectangle,192,327.72,339,4,267,12331.2,487.2
72215,1,72215_1,72215_1_IFNG.jpg,IFNG,Immune cells,Immune cells,Image,Polygon,449.29,453.13,2582,153,1368,221624.2,1731.9
72215,1,72215_1,72215_1_IFNG.jpg,IFNG,Mac,Mac,Image,Ellipse,637.68,368.04,31,0,15,6768.8,300.32
72215,1,72215_1,72215_1_IFNG.jpg,IFNG,Lymph,Lymph,Image,Polygon,265.48,355.92,63,1,24,3161.4,217.27
72215,1,72215_1,72215_1_TGFB.jpg,TGFB,Mac,Mac,Image,Ellipse,657,348.72,76,2,56,10150.6,359.2
72215,1,72215_1,72215_1_TGFB.jpg,TGFB,Immune cells,Immune cells,Image,Polygon,461.99,422.23,2894,176,2114,207287.3,1661.2
72215,1,72215_1,72215_1_TGFB.jpg,TGFB,Lymph,Lymph,Image,Polygon,277.99,343,160,15,113,5866.9,286.81
72215,2,72215_2,72215_2_DapB.jpg,DapB,Lymph,Lymph,Image,Ellipse,657.84,92.4,65,0,1,4338.1,238.38
72215,2,72215_2,72215_2_DapB.jpg,DapB,Mac,Mac,Image,Ellipse,583.92,390.12,95,3,34,9715.5,349.5
72215,2,72215_2,72215_2_DapB.jpg,DapB,Immune cells,Immune cells,Image,Rectangle,428.04,415.92,8114,686,3557,708012.4,3366.2
